[START] Pre-training step:
>> Epoch 1 finished 	RBM Reconstruction error 4.863852
>> Epoch 2 finished 	RBM Reconstruction error 3.771648
>> Epoch 3 finished 	RBM Reconstruction error 3.265776
>> Epoch 4 finished 	RBM Reconstruction error 2.896674
>> Epoch 5 finished 	RBM Reconstruction error 2.801031
>> Epoch 6 finished 	RBM Reconstruction error 2.685104
>> Epoch 7 finished 	RBM Reconstruction error 2.629183
>> Epoch 8 finished 	RBM Reconstruction error 2.570226
>> Epoch 9 finished 	RBM Reconstruction error 2.564440
>> Epoch 10 finished 	RBM Reconstruction error 2.526652
>> Epoch 11 finished 	RBM Reconstruction error 2.519358
>> Epoch 12 finished 	RBM Reconstruction error 2.516925
>> Epoch 13 finished 	RBM Reconstruction error 2.506885
>> Epoch 14 finished 	RBM Reconstruction error 2.496252
>> Epoch 15 finished 	RBM Reconstruction error 2.498906
>> Epoch 16 finished 	RBM Reconstruction error 2.498614
>> Epoch 17 finished 	RBM Reconstruction error 2.491967
>> Epoch 18 finished 	RBM Reconstruction error 2.491597
>> Epoch 19 finished 	RBM Reconstruction error 2.494875
>> Epoch 20 finished 	RBM Reconstruction error 2.486621
>> Epoch 21 finished 	RBM Reconstruction error 2.492162
>> Epoch 22 finished 	RBM Reconstruction error 2.480482
>> Epoch 23 finished 	RBM Reconstruction error 2.478824
>> Epoch 24 finished 	RBM Reconstruction error 2.477923
>> Epoch 25 finished 	RBM Reconstruction error 2.472515
>> Epoch 26 finished 	RBM Reconstruction error 2.470110
>> Epoch 27 finished 	RBM Reconstruction error 2.467229
>> Epoch 28 finished 	RBM Reconstruction error 2.462661
>> Epoch 29 finished 	RBM Reconstruction error 2.456157
>> Epoch 30 finished 	RBM Reconstruction error 2.451177
>> Epoch 31 finished 	RBM Reconstruction error 2.443591
>> Epoch 32 finished 	RBM Reconstruction error 2.444859
>> Epoch 33 finished 	RBM Reconstruction error 2.428008
>> Epoch 34 finished 	RBM Reconstruction error 2.422691
>> Epoch 35 finished 	RBM Reconstruction error 2.413082
>> Epoch 36 finished 	RBM Reconstruction error 2.402100
>> Epoch 37 finished 	RBM Reconstruction error 2.398136
>> Epoch 38 finished 	RBM Reconstruction error 2.383309
>> Epoch 39 finished 	RBM Reconstruction error 2.373660
>> Epoch 40 finished 	RBM Reconstruction error 2.354956
>> Epoch 41 finished 	RBM Reconstruction error 2.347623
>> Epoch 42 finished 	RBM Reconstruction error 2.343069
>> Epoch 43 finished 	RBM Reconstruction error 2.335556
>> Epoch 44 finished 	RBM Reconstruction error 2.315693
>> Epoch 45 finished 	RBM Reconstruction error 2.306204
>> Epoch 46 finished 	RBM Reconstruction error 2.294996
>> Epoch 47 finished 	RBM Reconstruction error 2.293892
>> Epoch 48 finished 	RBM Reconstruction error 2.287717
>> Epoch 49 finished 	RBM Reconstruction error 2.271444
>> Epoch 50 finished 	RBM Reconstruction error 2.259481
>> Epoch 51 finished 	RBM Reconstruction error 2.262667
>> Epoch 52 finished 	RBM Reconstruction error 2.258915
>> Epoch 53 finished 	RBM Reconstruction error 2.258987
>> Epoch 54 finished 	RBM Reconstruction error 2.266775
>> Epoch 55 finished 	RBM Reconstruction error 2.245780
>> Epoch 56 finished 	RBM Reconstruction error 2.253959
>> Epoch 57 finished 	RBM Reconstruction error 2.241336
>> Epoch 58 finished 	RBM Reconstruction error 2.229009
>> Epoch 59 finished 	RBM Reconstruction error 2.231402
>> Epoch 60 finished 	RBM Reconstruction error 2.233768
>> Epoch 61 finished 	RBM Reconstruction error 2.235095
>> Epoch 62 finished 	RBM Reconstruction error 2.228065
>> Epoch 63 finished 	RBM Reconstruction error 2.230851
>> Epoch 64 finished 	RBM Reconstruction error 2.226113
>> Epoch 65 finished 	RBM Reconstruction error 2.228307
>> Epoch 66 finished 	RBM Reconstruction error 2.225597
>> Epoch 67 finished 	RBM Reconstruction error 2.224287
>> Epoch 68 finished 	RBM Reconstruction error 2.227764
>> Epoch 69 finished 	RBM Reconstruction error 2.222709
>> Epoch 70 finished 	RBM Reconstruction error 2.225343
>> Epoch 71 finished 	RBM Reconstruction error 2.224096
>> Epoch 72 finished 	RBM Reconstruction error 2.221807
>> Epoch 73 finished 	RBM Reconstruction error 2.221533
>> Epoch 74 finished 	RBM Reconstruction error 2.226742
>> Epoch 75 finished 	RBM Reconstruction error 2.227010
>> Epoch 76 finished 	RBM Reconstruction error 2.228365
>> Epoch 77 finished 	RBM Reconstruction error 2.230337
>> Epoch 78 finished 	RBM Reconstruction error 2.220177
>> Epoch 79 finished 	RBM Reconstruction error 2.224650
>> Epoch 80 finished 	RBM Reconstruction error 2.223467
>> Epoch 81 finished 	RBM Reconstruction error 2.229332
>> Epoch 82 finished 	RBM Reconstruction error 2.220265
>> Epoch 83 finished 	RBM Reconstruction error 2.223628
>> Epoch 84 finished 	RBM Reconstruction error 2.220505
>> Epoch 85 finished 	RBM Reconstruction error 2.220355
>> Epoch 86 finished 	RBM Reconstruction error 2.222665
>> Epoch 87 finished 	RBM Reconstruction error 2.219598
